"test_id","test_creatorId","test_time","test_accuracy","test_wpm","test_rawWpm","test_chars","test_createdAt","test_testTaken","creator_id","creator_uid","creator_username","creator_email","creator_createdAt","creator_updatedAt"
142,"wlhhYCPwhZUrzYw57H5QbhBkAE53",15,100,85,85,"107 / 0","2024-09-22 17:45:55.826664+05:30","22/09/24",3,"wlhhYCPwhZUrzYw57H5QbhBkAE53","Rohith","test@gmail.com","2024-09-11 08:20:14.806777","2024-09-11 08:20:14.806777"
138,"wlhhYCPwhZUrzYw57H5QbhBkAE53",15,98.2,85,87,"107 / 2","2024-09-22 16:17:19.913273+05:30","22/09/24",3,"wlhhYCPwhZUrzYw57H5QbhBkAE53","Rohith","test@gmail.com","2024-09-11 08:20:14.806777","2024-09-11 08:20:14.806777"
56,"EVYIKxyLx2gV46fA8x8dGDzktij2",15,100,84,84,"105 / 0","2024-09-20 05:23:18.804019+05:30","20/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
145,"EVYIKxyLx2gV46fA8x8dGDzktij2",15,100,84,84,"105 / 0","2024-09-23 08:37:39.944201+05:30","23/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
85,"EVYIKxyLx2gV46fA8x8dGDzktij2",60,99.3,84,84,"420 / 3","2024-09-20 08:14:19.929517+05:30","20/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
105,"wlhhYCPwhZUrzYw57H5QbhBkAE53",15,97.2,84,87,"106 / 3","2024-09-20 16:59:10.600371+05:30","20/09/24",3,"wlhhYCPwhZUrzYw57H5QbhBkAE53","Rohith","test@gmail.com","2024-09-11 08:20:14.806777","2024-09-11 08:20:14.806777"
110,"wlhhYCPwhZUrzYw57H5QbhBkAE53",15,97.2,84,86,"105 / 3","2024-09-21 06:09:00.703266+05:30","21/09/24",3,"wlhhYCPwhZUrzYw57H5QbhBkAE53","Rohith","test@gmail.com","2024-09-11 08:20:14.806777","2024-09-11 08:20:14.806777"
117,"EVYIKxyLx2gV46fA8x8dGDzktij2",60,99.5,83,84,"419 / 2","2024-09-21 17:09:18.617689+05:30","21/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
176,"EVYIKxyLx2gV46fA8x8dGDzktij2",30,98.6,83,84,"209 / 3","2024-09-25 14:04:21.438277+05:30","25/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
55,"EVYIKxyLx2gV46fA8x8dGDzktij2",15,96.3,83,86,"104 / 4","2024-09-20 05:22:56.035741+05:30","20/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
161,"wlhhYCPwhZUrzYw57H5QbhBkAE53",60,96.3,83,86,"418 / 16","2024-09-23 13:18:05.330552+05:30","23/09/24",3,"wlhhYCPwhZUrzYw57H5QbhBkAE53","Rohith","test@gmail.com","2024-09-11 08:20:14.806777","2024-09-11 08:20:14.806777"
93,"EVYIKxyLx2gV46fA8x8dGDzktij2",60,99,82,83,"412 / 4","2024-09-20 15:14:36.246178+05:30","20/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
59,"EVYIKxyLx2gV46fA8x8dGDzktij2",15,98.1,82,84,"103 / 2","2024-09-20 05:24:59.37481+05:30","20/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
146,"EVYIKxyLx2gV46fA8x8dGDzktij2",15,96.3,82,85,"103 / 4","2024-09-23 08:37:58.246697+05:30","23/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
46,"EVYIKxyLx2gV46fA8x8dGDzktij2",60,98.8,81,82,"407 / 5","2024-09-20 05:11:21.17681+05:30","20/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
175,"EVYIKxyLx2gV46fA8x8dGDzktij2",30,97.6,81,83,"204 / 5","2024-09-25 14:03:12.183813+05:30","25/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
50,"EVYIKxyLx2gV46fA8x8dGDzktij2",15,100,80,80,"100 / 0","2024-09-20 05:20:01.97521+05:30","20/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
67,"EVYIKxyLx2gV46fA8x8dGDzktij2",15,100,80,80,"100 / 0","2024-09-20 07:54:03.070689+05:30","20/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
90,"EVYIKxyLx2gV46fA8x8dGDzktij2",60,100,80,80,"404 / 0","2024-09-20 15:10:27.075422+05:30","20/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
151,"EVYIKxyLx2gV46fA8x8dGDzktij2",15,100,80,80,"82 / 0","2024-09-23 08:40:25.148163+05:30","23/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
179,"EVYIKxyLx2gV46fA8x8dGDzktij2",30,99.5,80,80,"201 / 1","2024-09-25 14:06:38.106643+05:30","25/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
173,"EVYIKxyLx2gV46fA8x8dGDzktij2",30,99,80,81,"201 / 2","2024-09-25 13:58:45.465596+05:30","25/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
170,"EVYIKxyLx2gV46fA8x8dGDzktij2",30,98.5,80,82,"202 / 3","2024-09-25 13:43:20.516564+05:30","25/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
97,"EVYIKxyLx2gV46fA8x8dGDzktij2",60,97.3,80,82,"401 / 11","2024-09-20 15:24:03.613551+05:30","20/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
177,"EVYIKxyLx2gV46fA8x8dGDzktij2",30,96.7,80,83,"202 / 7","2024-09-25 14:05:00.700157+05:30","25/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
147,"EVYIKxyLx2gV46fA8x8dGDzktij2",15,96.2,80,84,"101 / 4","2024-09-23 08:38:21.219072+05:30","23/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
16,"wlhhYCPwhZUrzYw57H5QbhBkAE53",30,95.7,80,84,"202 / 9","2024-09-12 06:08:31.948625+05:30","12/09/24",3,"wlhhYCPwhZUrzYw57H5QbhBkAE53","Rohith","test@gmail.com","2024-09-11 08:20:14.806777","2024-09-11 08:20:14.806777"
62,"EVYIKxyLx2gV46fA8x8dGDzktij2",15,95.3,80,84,"101 / 5","2024-09-20 05:25:30.35537+05:30","20/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
130,"wlhhYCPwhZUrzYw57H5QbhBkAE53",15,95.3,80,84,"101 / 5","2024-09-22 16:09:09.319045+05:30","22/09/24",3,"wlhhYCPwhZUrzYw57H5QbhBkAE53","Rohith","test@gmail.com","2024-09-11 08:20:14.806777","2024-09-11 08:20:14.806777"
134,"wlhhYCPwhZUrzYw57H5QbhBkAE53",15,95.3,80,84,"101 / 5","2024-09-22 16:15:15.236957+05:30","22/09/24",3,"wlhhYCPwhZUrzYw57H5QbhBkAE53","Rohith","test@gmail.com","2024-09-11 08:20:14.806777","2024-09-11 08:20:14.806777"
76,"EVYIKxyLx2gV46fA8x8dGDzktij2",15,93.5,80,86,"101 / 7","2024-09-20 07:58:27.36182+05:30","20/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
60,"wlhhYCPwhZUrzYw57H5QbhBkAE53",15,91.8,80,88,"101 / 9","2024-09-20 05:25:07.555038+05:30","20/09/24",3,"wlhhYCPwhZUrzYw57H5QbhBkAE53","Rohith","test@gmail.com","2024-09-11 08:20:14.806777","2024-09-11 08:20:14.806777"
119,"EVYIKxyLx2gV46fA8x8dGDzktij2",60,100,79,79,"395 / 0","2024-09-21 17:12:25.825086+05:30","21/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
149,"EVYIKxyLx2gV46fA8x8dGDzktij2",15,100,79,79,"99 / 0","2024-09-23 08:38:57.517158+05:30","23/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
44,"EVYIKxyLx2gV46fA8x8dGDzktij2",60,99,79,80,"399 / 4","2024-09-20 05:08:53.202342+05:30","20/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
48,"EVYIKxyLx2gV46fA8x8dGDzktij2",60,99,79,80,"396 / 4","2024-09-20 05:18:15.606566+05:30","20/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
81,"EVYIKxyLx2gV46fA8x8dGDzktij2",60,98.8,79,80,"396 / 5","2024-09-20 08:04:22.91975+05:30","20/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
128,"wlhhYCPwhZUrzYw57H5QbhBkAE53",15,97.1,79,81,"99 / 3","2024-09-22 05:06:14.505975+05:30","22/09/24",3,"wlhhYCPwhZUrzYw57H5QbhBkAE53","Rohith","test@gmail.com","2024-09-11 08:20:14.806777","2024-09-11 08:20:14.806777"
136,"wlhhYCPwhZUrzYw57H5QbhBkAE53",15,96.1,79,82,"99 / 4","2024-09-22 16:16:00.364089+05:30","22/09/24",3,"wlhhYCPwhZUrzYw57H5QbhBkAE53","Rohith","test@gmail.com","2024-09-11 08:20:14.806777","2024-09-11 08:20:14.806777"
69,"EVYIKxyLx2gV46fA8x8dGDzktij2",15,100,78,78,"98 / 0","2024-09-20 07:54:54.173102+05:30","20/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
101,"EVYIKxyLx2gV46fA8x8dGDzktij2",60,98.2,78,79,"390 / 7","2024-09-20 15:39:54.957146+05:30","20/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
57,"EVYIKxyLx2gV46fA8x8dGDzktij2",15,98,78,80,"98 / 2","2024-09-20 05:24:11.208779+05:30","20/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
52,"EVYIKxyLx2gV46fA8x8dGDzktij2",15,96.1,78,81,"98 / 4","2024-09-20 05:21:36.673019+05:30","20/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
21,"wlhhYCPwhZUrzYw57H5QbhBkAE53",30,94.7,78,83,"197 / 11","2024-09-12 14:58:04.828887+05:30","12/09/24",3,"wlhhYCPwhZUrzYw57H5QbhBkAE53","Rohith","test@gmail.com","2024-09-11 08:20:14.806777","2024-09-11 08:20:14.806777"
20,"wlhhYCPwhZUrzYw57H5QbhBkAE53",30,94.2,78,83,"196 / 12","2024-09-12 07:40:47.520453+05:30","12/09/24",3,"wlhhYCPwhZUrzYw57H5QbhBkAE53","Rohith","test@gmail.com","2024-09-11 08:20:14.806777","2024-09-11 08:20:14.806777"
103,"wlhhYCPwhZUrzYw57H5QbhBkAE53",15,91.6,78,85,"98 / 9","2024-09-20 16:58:28.169478+05:30","20/09/24",3,"wlhhYCPwhZUrzYw57H5QbhBkAE53","Rohith","test@gmail.com","2024-09-11 08:20:14.806777","2024-09-11 08:20:14.806777"
75,"EVYIKxyLx2gV46fA8x8dGDzktij2",15,100,77,77,"97 / 0","2024-09-20 07:58:04.770191+05:30","20/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
77,"EVYIKxyLx2gV46fA8x8dGDzktij2",15,100,77,77,"97 / 0","2024-09-20 07:58:47.729513+05:30","20/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
92,"EVYIKxyLx2gV46fA8x8dGDzktij2",60,99.5,77,78,"388 / 2","2024-09-20 15:13:12.878929+05:30","20/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
79,"EVYIKxyLx2gV46fA8x8dGDzktij2",60,98.7,77,78,"385 / 5","2024-09-20 08:01:10.317675+05:30","20/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
64,"EVYIKxyLx2gV46fA8x8dGDzktij2",15,98,77,79,"97 / 2","2024-09-20 05:26:40.857547+05:30","20/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
6,"wlhhYCPwhZUrzYw57H5QbhBkAE53",45,97,77,80,"292 / 9","2024-09-11 11:11:18.178612+05:30","11/09/24",3,"wlhhYCPwhZUrzYw57H5QbhBkAE53","Rohith","test@gmail.com","2024-09-11 08:20:14.806777","2024-09-11 08:20:14.806777"
70,"EVYIKxyLx2gV46fA8x8dGDzktij2",15,100,76,76,"96 / 0","2024-09-20 07:55:14.240531+05:30","20/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
94,"EVYIKxyLx2gV46fA8x8dGDzktij2",60,99.7,76,76,"383 / 1","2024-09-20 15:16:13.622844+05:30","20/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
66,"EVYIKxyLx2gV46fA8x8dGDzktij2",15,99,76,76,"95 / 1","2024-09-20 07:53:37.434303+05:30","20/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
86,"EVYIKxyLx2gV46fA8x8dGDzktij2",120,98.5,76,77,"767 / 12","2024-09-20 08:17:14.719009+05:30","20/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
74,"EVYIKxyLx2gV46fA8x8dGDzktij2",15,98,76,78,"96 / 2","2024-09-20 07:57:44.061326+05:30","20/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
116,"wlhhYCPwhZUrzYw57H5QbhBkAE53",15,96,76,80,"96 / 4","2024-09-21 09:56:20.190109+05:30","21/09/24",3,"wlhhYCPwhZUrzYw57H5QbhBkAE53","Rohith","test@gmail.com","2024-09-11 08:20:14.806777","2024-09-11 08:20:14.806777"
150,"EVYIKxyLx2gV46fA8x8dGDzktij2",15,96,76,80,"96 / 4","2024-09-23 08:39:31.184408+05:30","23/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
104,"wlhhYCPwhZUrzYw57H5QbhBkAE53",15,95,76,80,"95 / 5","2024-09-20 16:58:50.163815+05:30","20/09/24",3,"wlhhYCPwhZUrzYw57H5QbhBkAE53","Rohith","test@gmail.com","2024-09-11 08:20:14.806777","2024-09-11 08:20:14.806777"
7,"wlhhYCPwhZUrzYw57H5QbhBkAE53",120,93.7,76,81,"760 / 51","2024-09-11 11:13:39.389664+05:30","11/09/24",3,"wlhhYCPwhZUrzYw57H5QbhBkAE53","Rohith","test@gmail.com","2024-09-11 08:20:14.806777","2024-09-11 08:20:14.806777"
10,"wlhhYCPwhZUrzYw57H5QbhBkAE53",15,100,75,75,"94 / 0","2024-09-11 16:24:10.856389+05:30","11/09/24",3,"wlhhYCPwhZUrzYw57H5QbhBkAE53","Rohith","test@gmail.com","2024-09-11 08:20:14.806777","2024-09-11 08:20:14.806777"
154,"EVYIKxyLx2gV46fA8x8dGDzktij2",15,100,75,75,"94 / 0","2024-09-23 08:41:43.442173+05:30","23/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
118,"EVYIKxyLx2gV46fA8x8dGDzktij2",60,99,75,76,"379 / 4","2024-09-21 17:10:31.192633+05:30","21/09/24",5,"EVYIKxyLx2gV46fA8x8dGDzktij2","Rahul","nigga@gmail.com","2024-09-20 10:32:01","2024-09-20 10:32:01"
